audio_pk,word_id,breadth_id,depth_id,file
1,w001,b001,,w001_ara.wav
2,w002,b002,,w002_cam.wav
3,w003,b003,,w003_car.wav
4,w004,b004,,w004_end.wav
5,w005,b005,d001,w005_exo.wav
6,w006,b006,,w006_ext.wav
7,w007,b007,d002,w007_hab.wav
8,w008,b008,d003,w008_her.wav
9,w009,b009,d004,w009_hib.wav
10,w010,b010,,w010_ins.wav
11,w011,b011,,w011_inv.wav
12,w012,b012,,w012_mam.wav
13,w013,b013,d005,w013_mig.wav
14,w014,b014,,w014_mim.wav
15,w015,b015,d006,w015_min.wav
16,w016,b016,d007,w016_mut.wav
17,w017,b017,,w017_non.wav
18,w018,b018,d008,w018_omn.wav
19,w019,b019,d009,w019_par.wav
20,w020,b020,,w020_phy.wav
21,w021,b021,,w021_pre.wav
22,w022,b022,,w022_pre.wav
23,w023,b023,,w023_ren.wav
24,w024,b024,d010,w024_rep.wav
25,w025,b025,d011,w025_roo.wav
26,w026,b026,d012,w026_ste.wav
27,w027,b027,d013,w027_ver.wav
28,w028,b028,d014,w028_att.wav
29,w029,b029,d015,w029_bat.wav
30,w030,b030,d016,w030_bul.wav
31,w031,b031,,w031_cir.wav
32,w032,b032,d017,w032_clo.wav
33,w033,b033,d018,w033_com.wav
34,w034,b034,,w034_con.wav
35,w035,b035,,w035_dio.wav
36,w036,b036,,w036_ele.wav
37,w037,b037,,w037_ele.wav
38,w038,b038,d019,w038_fil.wav
39,w039,b039,,w039_ins.wav
40,w040,b040,,w040_loa.wav
41,w041,b041,,w041_mag.wav
42,w042,b042,,w042_mag.wav
43,w043,b043,,w043_mag.wav
44,w044,b044,,w044_ope.wav
45,w045,b045,d020,w045_par.wav
46,w046,b046,d021,w046_per.wav
47,w047,b047,d022,w047_rep.wav
48,w048,b048,d023,w048_ser.wav
49,w049,b049,,w049_sho.wav
50,w050,b050,,w050_soc.wav
51,w051,b051,d024,w051_sou.wav
52,w052,b052,d025,w052_swi.wav
53,w053,b053,d026,w053_tel.wav
54,w054,b054,,w054_tem.wav
55,w055,b055,,w055_ava.wav
56,w056,b056,d027,w056_can.wav
57,w057,b057,,w057_dam.wav
58,w058,b058,,w058_dep.wav
59,w059,b059,d028,w059_dro.wav
60,w060,b060,,w060_ear.wav
61,w061,b061,d029,w061_ero.wav
62,w062,b062,,w062_eru.wav
63,w063,b063,d030,w063_fau.wav
64,w064,b064,d031,w064_flo.wav
65,w065,b065,d032,w065_fos.wav
66,w066,b066,,w066_hur.wav
67,w067,b067,,w067_ice.wav
68,w068,b068,,w068_lan.wav
69,w069,b069,d033,w069_lan.wav
70,w070,b070,d034,w070_mor.wav
71,w071,b071,,w071_rap.wav
72,w072,b072,d035,w072_riv.wav
73,w073,b073,d036,w073_riv.wav
74,w074,b074,d037,w074_san.wav
75,w075,b075,,w075_sed.wav
76,w076,b076,,w076_slo.wav
77,w077,b077,,w077_tec.wav
78,w078,b078,d038,w078_tor.wav
79,w079,b079,,w079_tre.wav
80,w080,b080,,w080_vol.wav
81,w081,b081,d039,w081_wea.wav
82,w082,b082,,w082_ane.wav
83,w083,b083,d040,w083_atm.wav
84,w084,b084,,w084_bar.wav
85,w085,b085,,w085_cli.wav
86,w086,b086,,w086_cli.wav
87,w087,b087,d041,w087_con.wav
88,w088,b088,d042,w088_eva.wav
89,w089,b089,,w089_fro.wav
90,w090,b090,d043,w090_gla.wav
91,w091,b091,d044,w091_gro.wav
92,w092,b092,,w092_hum.wav
93,w093,b093,d045,w093_lak.wav
94,w094,b094,,w094_met.wav
95,w095,b095,d046,w095_pol.wav
96,w096,b096,,w096_pol.wav
97,w097,b097,d047,w097_pre.wav
98,w098,b098,,w098_rai.wav
99,w099,b099,d048,w099_riv.wav
100,w100,b100,d049,w100_run.wav
101,w101,b101,d050,w101_sur.wav
102,w102,b102,,w102_tem.wav
103,w103,b103,d051,w103_the.wav
104,w104,b104,,w104_tra.wav
105,w105,b105,d052,w105_wat.wav
106,w106,b106,,w106_wat.wav
107,w107,b107,,w107_wea.wav
108,w108,b108,,w108_win.wav
